"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.174654160E-2,3.863471729E-1,1.415616757E-1,-1.716531431E0,1.765158350E0
2.173454175E-2,3.109432340E-2,1.042868453E-1,-1.353331046E0,1.357699349E0
3.172254143E-2,-2.738654548E-1,-8.727554083E-3,-6.881804448E-1,7.407231481E-1
4.171054158E-2,-3.645493376E-1,-4.754780352E-2,1.528690213E-1,3.981531751E-1
5.169854173E-2,-2.747252879E-1,-5.284128785E-3,7.934560543E-1,8.396870941E-1
6.168754166E-2,-3.162966523E-1,1.124469271E-1,1.087784425E0,1.138403636E0
7.167554181E-2,-3.342408800E-1,2.299163201E-1,1.101503162E0,1.173834612E0
8.166354150E-2,-1.670444262E-1,2.395308968E-1,8.856999743E-1,9.326003085E-1
9.165154165E-2,6.413226128E-3,1.340719771E-1,5.316697776E-1,5.483513262E-1
1.016395418E-1,1.120703664E-1,3.679535866E-2,1.820097899E-1,2.168899008E-1
1.116285417E-1,1.442981726E-1,4.776239634E-2,-1.060731697E-1,1.853502804E-1
1.216165419E-1,1.094037437E-1,-8.563247323E-3,-2.637357384E-1,2.856554709E-1
1.316045416E-1,-1.423329234E-2,-9.665622890E-2,-2.390359300E-1,2.582308832E-1
1.415925417E-1,-9.696291536E-2,-8.335907578E-2,-1.376715231E-1,1.878935623E-1
1.515805419E-1,-1.983416480E-1,3.924212605E-2,-7.458298981E-2,2.155040050E-1
1.615685415E-1,-3.301054367E-1,1.385874894E-1,-7.583955646E-2,3.659613776E-1
1.715575415E-1,-2.270242873E-1,1.358524543E-1,-6.024269342E-2,2.713394525E-1
1.815455416E-1,-5.032727748E-2,9.547713786E-2,-2.344733477E-4,1.079294848E-1
1.915335418E-1,5.005976737E-2,2.639842451E-2,2.549152136E-2,6.206991853E-2
2.015215415E-1,6.619720548E-2,-6.322594285E-3,4.729344964E-2,8.160095337E-2
2.115095416E-1,8.424375951E-2,-2.419051588E-2,1.003393900E-1,1.332298212E-1
2.214985415E-1,8.356957555E-2,-1.529923975E-2,1.065619969E-1,1.362842613E-1
2.314865417E-1,5.167769194E-2,-5.759448946E-2,4.817637920E-2,9.115192029E-2
2.414745418E-1,2.803856850E-2,-6.131711930E-2,-3.034354091E-2,7.393700641E-2
2.514625415E-1,-1.815268099E-2,-3.145100355E-2,-9.635334313E-2,1.029691807E-1
2.614505417E-1,-5.090410531E-2,-2.744098306E-2,-1.326212829E-1,1.446811673E-1
2.714395416E-1,-1.481538266E-1,-1.629385114E-2,-1.189890844E-1,1.907182427E-1
2.814275417E-1,-1.043268988E-1,-2.475447983E-2,-3.798643649E-2,1.137534854E-1
2.914155414E-1,-6.864338815E-3,-7.608104646E-2,3.115630388E-2,8.249945485E-2
3.014035416E-1,1.990538388E-2,-1.129123655E-1,7.087877870E-2,1.347932782E-1
3.113915417E-1,-1.719373763E-2,-9.892348677E-2,6.162497520E-2,1.178096703E-1
3.213805417E-1,-4.626258552E-2,-6.313355684E-2,-7.260663092E-2,1.067604593E-1
3.313685418E-1,-5.958078861E-2,-2.290559024E-2,-1.600570035E-1,1.723159331E-1
3.413565415E-1,-3.185475379E-2,-1.006627411E-2,-2.072604060E-1,2.099355404E-1
3.513445416E-1,-1.687594146E-2,-3.205209732E-2,-1.854625708E-1,1.889669270E-1
3.613325418E-1,-8.524831116E-2,-1.002356020E-1,-5.876100898E-2,1.441086626E-1
3.713205415E-1,-1.359182355E-1,-1.185359251E-1,1.095651269E-2,1.806781045E-1
3.813095419E-1,-8.901421040E-2,-5.682791948E-2,7.328958571E-2,1.285468998E-1
3.912975416E-1,-1.404659075E-1,-5.140111864E-2,1.271576446E-1,1.963206885E-1
4.012855417E-1,-2.046522555E-1,-1.295389232E-1,1.810245341E-1,3.023785049E-1
4.112735419E-1,-1.938872391E-1,-9.122679681E-2,2.124199891E-1,3.017231209E-1
4.212615415E-1,-1.534917498E-1,-6.274237812E-2,2.027837777E-1,2.619495825E-1
4.312505415E-1,-1.393982059E-1,-5.110583425E-2,1.804450750E-1,2.336751831E-1
4.412385416E-1,-1.302022898E-1,-1.039994547E-1,1.629238933E-1,2.330508912E-1
4.512265418E-1,-1.054668134E-1,-1.242007077E-1,1.032425326E-1,1.928939736E-1
4.612145415E-1,-1.310056973E-1,-1.670727852E-1,5.122921050E-2,2.184038467E-1
4.712025416E-1,-1.936802477E-1,-1.895839807E-1,-9.367765725E-2,2.867570881E-1
4.811915415E-1,-2.224169737E-1,-1.594439229E-1,-2.511168623E-1,3.714180304E-1
