Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.0185439582,0.07074778279,0.2480779181,0.1124437112,0.2814098264
0.02857995825,0.04528906066,0.1645244224,0.2535305929,0.3056094667
0.0386159583,0.006826587729,0.0700363411,0.3721852165,0.3787789947
0.04865195835,-0.01979740226,0.09503596544,0.3598353124,0.3726999113
0.0586879584,0.02053004924,0.1156297128,0.1232435185,0.1702371236
0.06872395822,0.0816955338,0.1758377615,-0.1020830297,0.2191210249
0.07875995827,-0.01390495291,0.2469127142,-0.4466717273,0.5105632851
0.08879595832,-0.1527304697,0.04433081165,-0.9750694031,0.9879535202
0.09883195837,-0.1930831739,-0.1226308765,-0.9640930098,0.9908555775
0.1088679582,-0.02437705119,-0.25967397,-0.4666528326,0.5345930018
0.1189039582,0.04262745378,-0.289327101,0.01989865959,0.2931266413
0.1289399583,0.2444599717,-0.430056864,0.2969005609,0.576939795
0.1389749583,-0.05343261494,-0.2042673625,0.2798214287,0.3505427672
0.1490109584,0.04050104071,-0.302696321,0.2000800252,0.3650991831
0.1590469582,0.04632781852,-0.4929144323,-0.083262012,0.5020393082
0.1690829583,-0.09840988196,-0.4733975959,-0.3728734338,0.6105934706
0.1791189583,-0.1094234233,-0.5846043286,-0.6713428026,0.8969040446
0.1891549584,-0.09211727293,-0.7172449073,-0.6617305648,0.9802107883
0.1991909584,-0.2323580078,-0.8390068875,-0.5428993553,1.025993426
0.2092269582,-0.3934788025,-0.9823313525,-0.4013195533,1.131749901
0.2192629583,-0.3685601621,-1.012677232,-0.2475483066,1.10572688
0.2292989583,-0.3569141896,-0.9527779166,-0.2290143871,1.042890736
0.2393349584,-0.3686491494,-0.8818033898,-0.2585416567,0.9901127218
0.2493709582,-0.3515134454,-0.8489059313,-0.3423866361,0.9805261807
0.2594069582,-0.3877958571,-0.821695767,-0.315964238,0.9619786692
0.2694429583,-0.3868615817,-0.8039459592,-0.1176266831,0.8999038978
0.2794789583,-0.3456271996,-0.8108357334,0.01343573213,0.8815289369
0.2895149584,0.204296964,-0.6740933329,1.056677238,1.269923563
0.2995509582,-0.1347555532,-0.5694350432,0.7331069416,0.9380091233
0.3095869583,-0.4690557824,-0.7978293331,0.08977113247,0.9298407541
0.3196229583,-0.3543739033,-0.7688854694,-0.07684469283,0.8501004854
0.3296589584,-0.5459453527,-0.7395081809,-0.3193450981,0.9730929912
0.3396939584,-0.6019927785,-0.9038286817,-0.6354321277,1.258203314
0.3497299582,-0.5425762235,-0.9510956727,-0.8627899987,1.394051118
0.3597659583,-0.7156619199,-0.8775730754,-1.072854145,1.559911056
0.3698019583,-0.5791208097,-0.4382995377,-1.090938998,1.310585859
0.3798379584,0.007819591127,0.173166461,-0.9215352201,0.9376966094
0.3898739582,0.3350489652,0.5933930591,-0.7059670901,0.9812047004
0.3999099582,0.199140067,0.821655202,-0.4221151757,0.9449630992
0.4099459583,0.3618235119,1.111169414,-0.2259200406,1.190232576
0.4199819583,0.9017964819,1.407937462,-0.1306016546,1.677075307
0.4300179584,1.28215976,1.506434248,-0.1582396889,1.984519487
0.4400539582,1.403095237,1.593410704,-0.1151445401,2.126238975
0.4500899583,1.43723976,1.641526565,0.09826070487,2.184015283
0.4601259583,1.649081313,1.501215024,0.3318271494,2.254600848
0.4701619584,1.973563921,1.156932282,0.6913882273,2.389867054
0.4801979582,2.06035429,0.8576549739,1.158863763,2.514676336
0.4902339582,1.603134039,1.017874091,1.344273709,2.326623781
0.5002699583,1.035314216,1.11461569,1.180618914,1.925643965
0.5103059583,-0.1687655541,1.73515262,1.099028621,2.060849421
0.5203419584,-0.6422454496,1.592317567,0.5134048301,1.79207672
0.5303779582,-0.5199034621,0.9927801807,-0.3101573682,1.162802516
0.5404138332,-0.5506983715,0.5358996169,-0.7462041199,1.071110491
0.5504498333,-0.3342544382,0.339113109,-1.286863407,1.372130154
0.5604848333,-0.4091549684,-0.3427516851,-0.631256631,0.8266628333
0.5705208334,-0.1378297268,-0.9834599382,-1.327390459,1.657756289
0.5805568332,-0.06813409567,-0.8906888187,-1.548249734,1.787469179
0.5905928332,-0.7051488454,-1.14999054,-0.888132416,1.615082761
0.6006288333,-0.762443592,-0.8359702823,0.2586954385,1.160642009
0.6106648333,-0.1538044662,0.0771411832,0.7376087129,0.7574121661
0.6207008334,-0.4327838227,-0.1508812603,0.8504781014,0.9661159313
0.6307368332,-0.25960384,-0.422957321,0.1448472261,0.5169794658
0.6407728333,-0.2443640226,-0.448626086,-0.3273505211,0.6067433595
0.6508088333,-0.08387286332,-0.2359580654,-0.6141663891,0.6632580337
0.6608448334,-0.04309578834,-0.02257240858,-0.9463964117,0.9476459933
0.6708808334,-0.2300819608,0.1719636522,-1.058053088,1.096351012
0.6809168332,-0.3110280186,0.2662922873,-0.9041134411,0.9925074937
0.6909528333,-0.1014469989,0.3517973643,-0.9261755705,0.9959187047
0.7009888333,0.18557904,0.1673575446,-1.071703997,1.100453355
0.7110248334,0.3890550184,0.09134352185,-0.9982296395,1.075253393
0.7210608332,0.5388012977,0.2792709133,-0.6216332835,0.8687502636
0.7310968332,0.6810269612,0.5288373864,-0.1576269007,0.8765346216
0.7411328333,0.7028568099,0.5450090307,0.05901945591,0.8913617868
0.7511688333,0.7417337043,0.286776107,0.1230698562,0.8047084025
0.7612048334,0.7977257643,0.07105887294,0.1767244917,0.8201507815
0.7712408332,0.7804680727,-0.1887552841,0.0553912586,0.8048771095
0.7812758333,0.5487072484,-0.4620686156,0.02347715557,0.7177313054
0.7913118333,-0.2016474627,-0.5715770245,0.07740602553,0.6110267481
0.8013478334,-0.485999442,-0.5163851559,-0.09497281551,0.7154501538
0.8113838332,-0.4516266578,-0.429936119,0.0281958586,0.6241848372
0.8214198332,-0.3625630385,-0.411401761,0.3823734051,0.6685153602
0.8314558333,-0.2258157409,-0.5967627364,0.724718526,0.9655751935
0.8414918333,0.05841887834,-0.6770631337,1.052229846,1.252603249
0.8515278334,0.5571707276,-0.5634891558,1.561926371,1.751448897
0.8615638332,1.246129948,-0.4417904717,1.984170771,2.384313804
0.8715998332,1.155206549,0.5815000418,2.721364916,3.013050195
0.8816358333,0.816409007,1.464693899,3.012658582,3.447892634
0.8916718333,1.547802714,1.093746538,2.152817334,2.868204527
0.9017078334,2.006697461,1.115235933,1.192230899,2.586890103
0.9117438332,2.064142116,1.280858901,0.4616096091,2.472724334
0.9217798333,2.038663605,1.152463401,0.02191945732,2.341965338
0.9318158333,1.671532429,0.8149360934,-0.1414932632,1.864983067
0.9418518334,1.30545229,0.3711300865,-0.1275956011,1.36316685
0.9518878332,0.9604589653,0.1527623096,-0.02000390947,0.9727373251
0.9619238332,0.9104970657,0.2030650288,0.2282864088,0.9603931471
0.9719598333,1.023403365,-0.05449107975,0.9596327537,1.404000978
0.9819958333,0.8447802821,-0.2131424126,1.38615673,1.637227502
0.9920318334,0.5199955923,-0.2735587683,1.082703779,1.231859282
1.002066833,0.3032612351,-0.1766093016,0.432858265,0.5572472519
1.012102833,0.2947410745,-0.01075127542,-0.4603776008,0.5467498754
1.022138833,0.5148600193,0.2403986236,-1.269648619,1.390999624
1.032174833,0.6762890355,0.6647731635,-1.654533404,1.907031988
1.042210833,0.8351631472,0.6473895375,-2.033973261,2.292085932
1.052246833,0.6616492885,0.187160456,-2.057350429,2.169216357
1.062282833,0.3569278575,-0.01648447037,-1.628351911,1.667093032
1.072318833,0.3317874614,-0.03270815492,-0.4964689547,0.5980252218
1.082354833,0.6938826495,-0.02538057044,0.7347219425,1.010907334
1.092390833,1.090724917,-0.3580763237,1.638636578,2.00075719
1.102426833,1.160101253,-0.542132493,1.919396485,2.307341636
1.112462833,1.037094109,-0.6882370166,1.490638872,1.941967721
1.122498833,0.8017064756,-0.8131779818,0.7460199326,1.364015192
1.132534833,0.514419322,-0.6641023417,-0.2193618035,0.8682043308
1.142570833,0.3474662586,-0.4379853961,-1.116697152,1.248830068
1.152606833,0.381686942,-0.4950628455,-1.506228719,1.630796461
1.162642833,0.07805316612,-0.7639197215,-0.7725838333,1.089289409
1.172678833,-0.219212261,-0.7023837702,-0.05419667244,0.737790116
1.182714833,-0.2645777375,-0.9067895655,0.8105954129,1.244722306
1.192750833,-0.2951254924,-1.269168709,1.332213827,1.863513335
1.202786833,-0.3446705586,-1.289924278,1.466449526,1.983223802
1.212822833,-0.3441792463,-1.201575627,1.376733357,1.859472527
1.222858833,-0.3516695295,-1.205737237,1.018212499,1.616858199
1.232893833,-0.6770075852,-1.008499397,0.4246499437,1.286754786
1.242929833,-1.311259452,-0.6300252074,-0.1550184578,1.462998235
1.252965833,-1.410587859,-0.3811965068,-0.7804167634,1.656538321
1.263001833,-1.356767455,-0.009656384289,-1.300381,1.879335499
1.273037833,-1.182033063,0.3531240244,-1.434505017,1.892010408
1.283073833,-1.397001561,0.7303534146,-1.267078768,2.022502924
1.293109833,-2.021129559,1.371170755,-0.9054764271,2.604795864
1.303145833,-2.443482132,1.710931845,-0.5537430167,3.033895851
1.313181833,-2.697918458,1.41136203,-0.4566581869,3.078838009
1.323217833,-2.698445,1.040712512,-0.631533789,2.960324793
1.333253833,-2.556757317,0.6305532841,-1.149733921,2.873411476
1.343289833,-2.038782888,0.3125048791,-1.897910306,2.802919637
1.353325833,-1.14485208,0.1345251364,-2.706170341,2.941452229
1.363361833,-0.1787140068,0.07598646775,-3.356728631,3.362341408
1.373397833,0.06080285668,0.2201785134,-3.333635638,3.341452099
1.383433833,-1.148055477,1.1988403,-2.512092483,3.010956341
1.393469833,-2.002439519,2.011793602,-1.524880752,3.222163688
1.403505833,-1.939666735,1.998448502,-1.294915608,3.071304265
1.413541833,-1.484698101,1.680037204,-1.667266885,2.794035133
1.423577833,-1.123176452,1.531006149,-2.012823297,2.767121753
1.433613833,-1.111213049,1.550780555,-2.22135021,2.928158384
1.443649833,-1.259913298,1.589737337,-2.406168417,3.147108637
1.453685833,-1.75180476,1.524166807,-2.409935194,3.346594091
1.463720833,-1.768030491,1.188754437,-2.782149062,3.504200669
1.473756833,-1.609948384,0.8003452438,-3.19220494,3.663694677
1.483792833,-1.721106585,0.5163285841,-3.250676512,3.714256435
1.493828833,-2.203797453,0.5066961734,-2.796017488,3.595994719
1.503864833,-2.520902191,0.4553735536,-2.273108593,3.424811762
1.513900833,-2.368107721,0.02164083749,-2.020560333,3.113047793
1.523936833,-1.911806507,-0.384724132,-1.782475744,2.642013731
1.533972833,-1.473882214,-0.6313860007,-1.600474141,2.265500946
1.544008958,-1.120574149,-0.6587245113,-0.5872580874,1.426350751
1.554044958,-0.9252952722,-0.4312863873,1.069130053,1.478248409
1.564080958,-0.5865312785,0.01262910873,1.731049483,1.82776113
1.574116958,0.02614465535,0.1667862716,2.572688348,2.578221585
1.584152958,0.2996130842,0.1533318284,2.624894044,2.646383833
1.594188958,0.4558080018,-0.1107769623,2.524280419,2.56749374
