Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2),Labels
0.0009045000188,-0.09841974914,0.01960322902,-0.5153595543,0.5250392403,freestyle
0.01094149996,0.09030330218,0.06739661559,-0.4161749893,0.4311596131,freestyle
0.02097850002,0.1739516507,0.1157962123,-0.2668154669,0.3389077056,freestyle
0.03101649997,0.1031036612,0.08891641572,-0.1467452323,0.200176565,freestyle
0.04105350003,0.08486431355,0.074480225,0.01355910838,0.1137238104,freestyle
0.05109049997,0.08587277552,0.09819667786,0.1254157591,0.1809580994,freestyle
0.06112850003,0.04660981877,0.05394933522,0.144540832,0.1611677949,freestyle
0.07116549998,0.02291408697,-0.02109295338,0.122780419,0.1266688571,freestyle
0.08120250003,0.03974547995,-0.1132114506,0.1315196675,0.1780279716,freestyle
0.09124049998,0.04710986534,-0.133882235,0.1500758064,0.206558805,freestyle
0.1012775,0.07010350185,-0.1617969887,0.1811134118,0.2527742757,freestyle
0.1113145,0.05997002131,-0.1782856983,0.1728852099,0.2554828556,freestyle
0.1213525,0.08213456833,-0.1008700249,0.06668632507,0.1461776836,freestyle
0.1313895,0.06816725121,-0.0670991385,-0.1238054359,0.1564508053,freestyle
0.1414265,0.09871136075,-0.03964748427,-0.246239115,0.2682341468,freestyle
0.1514645,0.1445317597,-0.01738713428,-0.2896289635,0.3241553308,freestyle
0.1615015001,0.1692354875,-0.02683418825,-0.2319660616,0.2883903217,freestyle
0.1715385,0.1363220954,-0.08573304534,-0.1298882943,0.2068933004,freestyle
0.1815765001,0.08399645884,-0.1156207958,-0.02751641214,0.1455359971,freestyle
0.1916135,0.0476389744,-0.1358657567,0.02934308231,0.1469353334,freestyle
0.2016505001,0.1691239884,-0.1001136875,0.1421089751,0.2425296573,freestyle
0.2116885,0.1275848934,-0.1061892369,0.1661661744,0.2348728519,freestyle
0.2217255001,0.09293316051,-0.05709309071,0.08983545184,0.1413032262,freestyle
0.2317625,0.06254813178,0.002234805822,-0.007164593339,0.06299678202,freestyle
0.2418005,0.04499805205,0.05380403191,-0.1389415383,0.1556420561,freestyle
0.2518375,0.05685650689,0.06927678779,-0.1627110547,0.1857601222,freestyle
0.2618745,0.07760378933,0.06985098436,-0.1285650694,0.1656215119,freestyle
0.2719125,0.07739752879,0.05712437332,-0.1461669427,0.1749809893,freestyle
0.2819495,0.1026399862,0.03815819845,-0.1927634043,0.2216951621,freestyle
0.2919865,0.09238593422,0.03242061809,-0.1857093233,0.2099385864,freestyle
0.3020245,0.02335813275,0.07871302441,-0.1644845152,0.1838382395,freestyle
0.3120615,0.01294775,0.09694347337,-0.09624107659,0.1372152546,freestyle
0.3220985,-0.0326413048,0.1153541628,-0.04966566503,0.1297640779,freestyle
0.3321365,-0.03108443795,0.09209437743,0.01404968977,0.09820901394,freestyle
0.3421735,0.03208211455,0.01062336758,0.03845245957,0.05119286728,freestyle
0.3522109167,0.1772573558,0.03468787596,0.05529244065,0.1888932845,freestyle
0.3622479166,0.3189108693,0.1331146418,0.03034412563,0.3469069275,freestyle
0.3722849167,0.299433264,0.189580911,0.09602823794,0.3671820038,freestyle
0.3823229166,0.1663469265,0.2669141386,0.06540052235,0.3212346271,freestyle
0.3923599167,0.05160893233,0.3822057362,0.09261755705,0.3966392801,freestyle
0.4023969166,-0.01543211773,0.4403883094,0.2456672573,0.5045120559,freestyle
0.4124349167,0.02389669786,0.5563409346,0.4675433636,0.7271059651,freestyle
0.4224719167,0.2587377395,0.5452882352,0.5533576852,0.8188340522,freestyle
0.4325089167,0.6969530225,0.2726699916,0.2566272783,0.7911700195,freestyle
0.4425469167,1.088119178,-0.00688845858,0.003483771086,1.088146559,freestyle
0.4525839167,0.9455184522,-0.05007906318,-0.1283838058,0.9555079579,freestyle
0.4626209167,0.2272634201,0.2250347722,-0.4274308795,0.5338412381,freestyle
0.4726589167,0.1961391846,0.10771843,-0.4616996562,0.5130695981,freestyle
0.4826959167,0.6640897702,0.3156695384,-0.41266666,0.8431822179,freestyle
0.4927329167,0.817584005,0.4298368625,-0.2632229376,0.9604632468,freestyle
0.5027709167,0.8214366623,0.3115617232,-0.1696283108,0.8947640255,freestyle
0.5128079167,0.6360406767,0.2537387538,-0.1389000231,0.6987305017,freestyle
0.5228449167,-0.1229606594,0.3138412602,-0.1557329875,0.3713063746,freestyle
0.5328829167,-0.3477512372,0.3821576428,-0.2221544337,0.5624304218,freestyle
0.5429199167,-0.2202616169,0.426360839,-0.2504877019,0.5413343087,freestyle
0.5529569167,0.01874790927,0.5101675192,-0.1879692721,0.5440173058,freestyle
0.5629949167,0.2696316504,0.5473976183,-0.0781047678,0.6151794325,freestyle
0.5730319166,0.4587303305,0.5490548654,-0.05695889711,0.7177318979,freestyle
0.5830689167,0.505602671,0.4510055374,-0.06355572581,0.6804993651,freestyle
0.5931069166,0.4183619942,0.3175315842,-0.05606778145,0.5282013454,freestyle
0.6031439167,0.3594979646,0.3018739101,-0.09264211535,0.4784863694,freestyle
0.6131809166,0.2719533056,0.3335513471,-0.1531912029,0.4568179574,freestyle
0.6232189167,0.1458071562,0.3397441332,-0.2666207546,0.4558206112,freestyle
0.6332559166,-0.01797536418,0.2713564146,-0.3484256405,0.4419930366,freestyle
0.6432929167,-0.16927735,0.1683280362,-0.3619707155,0.4336034454,freestyle
0.6533309167,-0.254770093,-0.01356232435,-0.382230733,0.4595563841,freestyle
0.6633679167,-0.1615465451,-0.08144762099,-0.3595908988,0.4025377196,freestyle
0.6734049167,0.04545132089,-0.0410316664,-0.3744673848,0.379440697,freestyle
0.6834429167,0.1252336092,-0.0421290426,-0.4028562015,0.4239710276,freestyle
0.6934799167,0.1478019795,-0.02420718044,-0.455864135,0.4798369748,freestyle
0.7035179167,0.13914144,-0.04583793148,-0.5506708896,0.5698244335,freestyle
0.7135549167,0.130558166,-0.1403486708,-0.6341913486,0.6625268679,freestyle
0.7235919167,0.193385146,-0.1932690422,-0.6857795781,0.7382712016,freestyle
0.7336299167,0.2611892394,-0.1800604744,-0.735859226,0.8013303899,freestyle
0.7436669167,0.2336963258,-0.2647585626,-0.639766084,0.7307610494,freestyle
0.7537039167,0.2801724991,-0.2640492953,-0.3636102748,0.5295574488,freestyle
0.7637419166,0.3774620363,-0.2029840448,-0.1959817117,0.4712631353,freestyle
0.7737789167,0.2878227037,-0.2796207961,-0.1504161143,0.4285495372,freestyle
0.7838159166,0.178977296,-0.2990490472,-0.1135932738,0.3665605502,freestyle
0.7938539167,0.1105854295,-0.2860615772,-0.1455757892,0.3394888416,freestyle
0.8038909166,0.02133395003,-0.3288843188,-0.1335539138,0.3556074809,freestyle
0.8139279167,-0.02694362255,-0.2926716352,-0.01082553506,0.2941085464,freestyle
0.8239659166,-0.1200647162,-0.3004826383,0.09559378982,0.3374070607,freestyle
0.8340029167,-0.2056154015,-0.3861366,0.2257761991,0.4922946874,freestyle
0.8440399166,-0.2124065953,-0.3906906308,0.3517796034,0.5670137742,freestyle
0.8540779167,-0.1972118928,-0.3428572639,0.3240281332,0.5113099502,freestyle
0.8641149167,-0.2398307128,-0.3270386087,0.1923213547,0.4488435428,freestyle
0.8741519167,-0.2866192188,-0.2943246431,0.1031390369,0.4235743537,freestyle
0.8841899167,-0.314398171,-0.2989801962,0.07475255907,0.4402536913,freestyle
0.8942269167,-0.2738447703,-0.3113546221,0.1323160583,0.435247284,freestyle
0.9042639167,-0.2255515564,-0.3188885402,0.2261673778,0.4513480791,freestyle
0.9143019167,-0.2182315002,-0.3436218604,0.2873380244,0.4982610871,freestyle
0.9243389167,-0.1500430254,-0.3190395446,0.2442738658,0.4289159148,freestyle
0.9343759167,-0.1211635908,-0.2528761068,0.2588293397,0.381601321,freestyle
0.9444139167,-0.1799316895,-0.2302340067,0.2971952605,0.4167830774,freestyle
0.9544509167,-0.257000623,-0.1963720134,0.2008606285,0.3807312437,freestyle
0.9644879167,-0.3379429715,-0.166219311,0.08763222098,0.386670037,freestyle
0.9745259167,-0.4076882675,-0.2386764359,0.05254366457,0.4753283088,freestyle
0.9845629167,-0.3803107998,-0.2426973468,0.08923552752,0.4598926896,freestyle
0.9945999167,-0.3020119044,-0.2489763246,0.02057284355,0.3919485202,freestyle
1.004637917,-0.1174533497,-0.2311022086,-0.1117747897,0.2823067902,freestyle
1.014674917,0.0891148556,-0.2034625481,-0.1356764531,0.2602817049,freestyle
1.024712917,0.253048892,-0.1597385678,-0.1517481101,0.3355259166,freestyle
1.034749917,0.2811441785,-0.1766897373,-0.1414119869,0.3609136495,freestyle
1.044786917,0.1506974019,-0.1724207035,-0.09949446738,0.2496752991,freestyle
1.054824917,-0.01159988914,-0.1263941627,-0.09768767774,0.1601653027,freestyle
1.064861917,-0.1663216007,-0.07711572954,-0.02619260252,0.1851911527,freestyle
1.074898917,-0.3281922278,-0.09082964296,0.05512170196,0.3449616855,freestyle
1.084936917,-0.4098820331,-0.1559483478,0.1037641042,0.4506552536,freestyle
