"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-1.125037670E-6,-6.394339621E-2,1.599330425E-2,-7.840367746E-1,7.868025214E-1
1.003587502E-2,-4.038028657E-2,1.081132632E-1,-1.061958443E0,1.068211018E0
2.007187495E-2,-4.418448508E-2,1.704814196E-1,-1.161693231E0,1.174966955E0
3.010887501E-2,-2.748922259E-2,1.905338609E-1,-1.002434957E0,1.020752003E0
4.014587495E-2,1.198033091E-1,3.360219419E-2,-5.171207356E-1,5.318794935E-1
5.018187501E-2,2.685734323E-1,-2.086005878E-1,1.416780353E-2,3.403624839E-1
6.021887495E-2,3.746249673E-1,-4.493538451E-1,4.003670418E-1,7.089122036E-1
7.025587501E-2,4.628050724E-1,-5.088369852E-1,6.809357446E-1,9.678724611E-1
8.029187494E-2,5.047857419E-1,-4.165258223E-1,8.093990725E-1,1.040879083E0
9.032887500E-2,5.005333543E-1,-2.657378250E-1,7.452475154E-1,9.362393335E-1
1.003648749E-1,4.313374043E-1,-9.279238880E-2,6.001085132E-1,7.448440182E-1
1.104018750E-1,1.698043120E-1,9.866123915E-2,4.606366324E-1,5.007530845E-1
1.204388749E-1,-1.077372873E-1,2.312199569E-1,1.847129577E-1,3.149426428E-1
1.304748750E-1,-7.617460191E-2,1.118964118E-1,-2.396890640E-2,1.374695800E-1
1.405118749E-1,1.510742185E-1,-5.610812724E-2,-2.016739762E-1,2.581548646E-1
1.505488750E-1,3.109251076E-1,-7.204237461E-2,-3.460826612E-1,4.707841699E-1
1.605848749E-1,3.150816008E-1,-4.628422022E-2,-3.680635142E-1,4.867128463E-1
1.706218750E-1,1.611530641E-1,-6.226699948E-3,-3.262781417E-1,3.639594862E-1
1.806578750E-1,1.219261408E-2,-9.583001733E-3,-2.276016998E-1,2.281294096E-1
1.906948750E-1,-1.120110172E-1,-1.940047681E-2,-1.281838310E-1,1.713299186E-1
2.007318750E-1,-2.256545770E-1,-7.367491722E-2,-2.352510273E-2,2.385401686E-1
2.107678750E-1,-2.349156895E-1,-1.177845579E-1,4.471424282E-2,2.665669649E-1
2.208048750E-1,-1.690386191E-1,-6.955379963E-2,8.868998230E-2,2.031691383E-1
2.308418750E-1,-9.128088355E-2,1.310653389E-2,1.029647899E-1,1.382234744E-1
