"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-4.771249369E-4,4.637974910E-3,-8.862347022E-2,-6.605564439E-1,6.664911447E-1
9.559875005E-3,8.150499679E-2,-1.638082847E-2,-7.554737109E-1,7.600341597E-1
1.959687506E-2,1.033355033E-1,1.643450591E-1,-4.537778485E-1,4.935603919E-1
2.963287511E-2,1.815679232E-1,3.792274569E-1,-9.833554924E-2,4.317988595E-1
3.966987506E-2,4.797582702E-1,5.328405364E-1,2.594719487E-1,7.625042473E-1
4.970687511E-2,6.842530894E-1,5.788837051E-1,7.230853987E-1,1.151590695E0
5.974287505E-2,6.811495335E-1,5.193926713E-1,9.512928700E-1,1.280113885E0
6.977987511E-2,5.450038778E-1,2.740781473E-1,7.809681559E-1,9.909890606E-1
7.981587504E-2,2.644251799E-1,1.311281964E-2,3.412388277E-1,4.318987837E-1
8.985287510E-2,-1.305571062E-1,-1.561829308E-1,-9.242226005E-2,2.235623850E-1
9.988987504E-2,-4.367865707E-1,-2.690721998E-1,-3.859431303E-1,6.419769909E-1
1.099258751E-1,-4.862166660E-1,-2.827349500E-1,-5.524765098E-1,7.884009083E-1
1.199628750E-1,-3.782826199E-1,-2.611483455E-1,-6.182635331E-1,7.704193632E-1
1.299998751E-1,-2.729433306E-1,-1.311882766E-1,-5.412966335E-1,6.202503293E-1
1.400358750E-1,-2.170558627E-1,4.564482719E-2,-5.765448189E-1,6.177383151E-1
1.500728751E-1,-5.158431921E-2,1.124230997E-1,-6.204731959E-1,6.326822917E-1
1.601098750E-1,3.299750073E-2,9.526108325E-2,-5.194110900E-1,5.291043276E-1
1.701458751E-1,-4.019993652E-2,2.198670030E-2,-2.947476161E-1,2.982877923E-1
1.801828750E-1,-1.929768824E-1,-1.208791968E-1,8.197737873E-2,2.420168341E-1
1.902200833E-1,-3.017635805E-1,-2.634701286E-1,3.093978149E-1,5.061667463E-1
2.002560834E-1,-3.681125578E-1,-3.322262219E-1,3.111660129E-1,5.854104588E-1
2.102930833E-1,-3.167411503E-1,-2.923129816E-1,1.449021900E-1,4.547180227E-1
2.203300834E-1,-2.766003803E-1,-1.434402399E-1,-4.923297107E-2,3.154469182E-1
2.303660834E-1,-1.763745724E-1,1.321580373E-1,-4.017271042E-2,2.240258540E-1
2.404030834E-1,2.937055509E-2,4.274278097E-1,9.804318845E-2,4.395106697E-1
2.504400834E-1,3.676804851E-1,5.486309423E-1,9.331629932E-2,6.670028348E-1
2.604760834E-1,6.463592581E-1,5.541963221E-1,3.432432532E-2,8.521103293E-1
2.705130834E-1,5.870506940E-1,5.824180546E-1,-8.346023262E-2,8.311467488E-1
2.805490834E-1,4.449242869E-1,5.634917870E-1,-3.168419051E-1,7.847734756E-1
2.905860834E-1,1.672916172E-1,5.416967292E-1,-4.106645733E-1,7.000480151E-1
3.006230834E-1,-7.405476697E-2,6.234529370E-1,-4.071825564E-1,7.483149787E-1
3.106590834E-1,-1.936334699E-2,6.758473514E-1,-3.549868011E-1,7.636492720E-1
3.206960834E-1,2.010079052E-1,6.608802335E-1,-2.722112775E-2,6.913087955E-1
3.307330834E-1,5.722563978E-1,4.532907389E-1,5.038270909E-1,8.870127487E-1
3.407690834E-1,7.767546523E-1,1.561336680E-1,7.316790515E-1,1.078461750E0
3.508060834E-1,8.218979345E-1,-7.642474854E-2,6.243569165E-1,1.034977544E0
3.608430834E-1,8.794529553E-1,-1.330313555E-1,2.038374460E-1,9.125155048E-1
3.708790834E-1,7.563092780E-1,-8.948790796E-2,-1.936030644E-1,7.858078367E-1
3.809160833E-1,2.151614562E-1,-3.241743866E-2,-1.938422155E-1,2.914106159E-1
3.909530834E-1,-5.825158493E-1,-8.034257032E-2,-1.254695535E-1,6.012672053E-1
4.009890833E-1,-1.356317219E0,-2.315252546E-1,-1.580642724E-1,1.384985436E0
4.110260834E-1,-1.706219135E0,-3.694509854E-1,-3.462767887E-1,1.779771160E0
4.210630833E-1,-1.536924408E0,-4.774744208E-1,-8.258700943E-1,1.808916768E0
4.310990834E-1,-9.658800651E-1,-6.899168486E-1,-1.516463100E0,1.925764755E0
4.411360834E-1,-6.193214406E-1,-9.492602317E-1,-2.001068054E0,2.299766813E0
4.511730834E-1,-2.560055731E-1,-9.848995958E-1,-2.022065406E0,2.263694894E0
4.612090834E-1,1.061033413E0,-9.678950156E-1,-1.189254082E0,1.864654911E0
4.712460834E-1,4.157531127E-2,-9.866084446E-1,8.743055052E-1,1.318914268E0
4.812830834E-1,-1.471455912E0,-7.714129284E-1,2.572401835E0,3.062272295E0
4.913190834E-1,-9.360821425E-1,-9.556488995E-1,2.423148147E0,2.767880333E0
5.013560834E-1,-3.011917593E-1,-1.135282820E0,1.493064882E0,1.899691106E0
5.113920834E-1,7.909908682E-2,-1.228772781E0,2.938220018E-1,1.265887271E0
5.214290834E-1,3.197506025E-2,-9.578733265E-1,-8.691734040E-1,1.293833884E0
5.314660834E-1,4.888474745E-1,-3.034085119E-1,-1.667970305E0,1.764413080E0
5.415020834E-1,1.895004825E0,-6.178203142E-1,-2.522040936E0,3.214566177E0
5.515390834E-1,1.158904840E0,-3.728769422E-3,-4.146015036E-1,1.230840663E0
5.615760834E-1,-8.745351546E-2,1.080146500E0,1.227184970E0,1.637176694E0
5.716120834E-1,6.374195963E-3,1.831686204E0,1.552824596E0,2.401328633E0
5.816490834E-1,1.110425136E0,2.331809668E0,1.730575858E0,3.108902236E0
5.916860834E-1,2.077149978E0,3.225722642E0,2.374838451E0,4.512172011E0
6.017220834E-1,2.744049774E0,3.587368544E0,2.246328346E0,5.044305033E0
6.117590833E-1,2.822291366E0,2.623996789E0,7.841484565E-1,3.932629719E0
6.217960834E-1,2.335789576E0,1.546983812E0,-5.133241385E-1,2.848257981E0
6.318320833E-1,1.345491099E0,5.690521967E-1,-9.878180873E-1,1.763505394E0
