"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.740012528E-2,2.009822506E-1,-1.418008268E-1,-1.502167243E-1,2.882124282E-1
3.738712519E-2,1.048016927E-1,-6.681817979E-2,1.522492164E-1,1.965397869E-1
4.737312486E-2,6.104507759E-2,3.953857988E-2,3.764922756E-1,3.834530406E-1
5.736012524E-2,-3.814007208E-2,4.559132516E-2,6.254456681E-1,6.282638918E-1
6.734712515E-2,-5.517768905E-2,-3.016081542E-2,6.640063012E-1,6.669772261E-1
7.733412506E-2,6.732571810E-2,-3.692925990E-2,5.135556883E-1,5.192648337E-1
8.732112497E-2,7.236192495E-2,-1.071677685E-2,2.680808043E-1,2.778820166E-1
9.730712511E-2,-4.905828550E-2,6.194569498E-2,9.041549563E-3,7.953448386E-2
1.072941250E-1,-5.501645207E-3,7.563198030E-2,-1.880458707E-1,2.027602378E-1
1.172811249E-1,-2.349265069E-2,1.216758800E-1,-3.156303620E-1,3.390861982E-1
1.272681248E-1,-6.693760917E-2,1.742195445E-1,-3.719086432E-1,4.161119226E-1
1.372551252E-1,-1.215182975E-1,1.501649764E-1,-2.663465202E-1,3.290238374E-1
1.472411249E-1,-1.955253366E-1,8.475802213E-2,-5.385636449E-2,2.198057951E-1
1.572281253E-1,-1.933355543E-1,5.830375671E-2,9.853201568E-2,2.246920620E-1
1.672151252E-1,-4.349042058E-2,2.348534167E-2,1.418025810E-1,1.501697370E-1
1.772021251E-1,1.353601187E-2,-1.259519488E-2,1.206888700E-1,1.220969528E-1
1.871891250E-1,-2.335962653E-2,1.151229054E-2,-3.405009091E-2,4.286739642E-2
1.971751251E-1,-1.634589136E-3,6.268244416E-2,-1.638875145E-1,1.754732974E-1
2.071621250E-1,2.017289400E-4,1.040830699E-1,-2.295611018E-1,2.520548067E-1
2.171491249E-1,-4.719287753E-3,1.017699113E-1,-1.511008233E-1,1.822384299E-1
2.271361249E-1,2.995967120E-3,9.581013680E-2,-7.057355404E-2,1.190343844E-1
2.371231252E-1,2.656887084E-2,7.963264525E-2,-3.945116401E-3,8.404062726E-2
2.471091249E-1,5.624582916E-3,7.634007812E-2,1.288667858E-2,7.762415825E-2
2.570961253E-1,-9.421472400E-3,6.341773152E-2,-2.273222029E-2,6.802445629E-2
2.670831252E-1,-2.437704206E-3,5.706239283E-2,-6.404981554E-2,8.581630351E-2
2.770701251E-1,-3.403898120E-2,2.485709846E-2,-2.865661919E-2,5.096792529E-2
2.870561252E-1,-3.573788971E-2,-7.440581918E-3,2.115288734E-2,4.219008963E-2
2.970431251E-1,2.531347364E-2,7.308727205E-3,5.080236375E-2,5.722822384E-2
3.070301251E-1,8.584063411E-2,8.008931279E-3,6.637057543E-2,1.088017037E-1
3.170171250E-1,7.904675424E-2,2.326022387E-3,1.047932142E-1,1.312837289E-1
3.270041249E-1,7.461076409E-2,-1.173828542E-2,8.911682904E-2,1.168176471E-1
3.369901250E-1,3.790282130E-2,2.194518507E-2,5.768102825E-2,7.242455405E-2
3.469771249E-1,-1.284633279E-3,3.899566591E-2,-3.986514688E-2,5.578119914E-2
3.569641248E-1,-3.699504107E-2,3.013596475E-2,-1.419394058E-1,1.497451313E-1
3.669511252E-1,-7.891095266E-2,1.054662287E-2,-2.342435521E-1,2.474029333E-1
3.769381251E-1,-8.938404679E-2,-3.874365091E-3,-2.705313724E-1,2.849416466E-1
3.869241253E-1,-4.971434310E-2,1.301999509E-2,-2.260293835E-1,2.317980121E-1
3.969111252E-1,5.382859021E-2,5.231416136E-2,-2.588772869E-1,2.695398640E-1
4.068981251E-1,1.057675065E-1,1.033252707E-1,-2.263562429E-1,2.703701642E-1
4.168851250E-1,4.998492301E-2,7.501568377E-2,-1.916553569E-1,2.117961783E-1
4.268721249E-1,-8.646745563E-2,5.883760750E-2,-1.826991767E-1,2.105171587E-1
4.368581250E-1,-1.427448598E-1,3.524701595E-3,-1.446285403E-1,2.032386114E-1
4.468451249E-1,-7.929087549E-2,-6.747277558E-2,-1.214110011E-1,1.599382680E-1
4.568321249E-1,-5.716822743E-2,-1.547079706E-1,-6.034969747E-2,1.756270150E-1
4.668191252E-1,-3.527362078E-2,-2.592056081E-1,2.386716485E-2,2.626812082E-1
4.768061251E-1,3.124927461E-2,-3.735049331E-1,9.760757089E-2,3.873108443E-1
4.867921253E-1,5.804516360E-2,-4.924431467E-1,1.189142400E-1,5.099118455E-1
4.967791252E-1,1.066157913E-1,-5.117386660E-1,6.968185365E-2,5.273508794E-1
5.067661251E-1,6.795692503E-2,-4.803306395E-1,-2.397183001E-2,4.857059970E-1
5.167531250E-1,-3.814474985E-2,-4.103494084E-1,-1.867571443E-1,4.524598213E-1
5.267401249E-1,-1.324651623E-1,-3.726535785E-1,-2.978548265E-1,4.951113071E-1
5.367261251E-1,-2.302306080E-1,-3.735394317E-1,-3.218757731E-1,5.441891704E-1
5.467131250E-1,-1.570313618E-1,-4.078503084E-1,-3.667169005E-1,5.705103047E-1
5.567001249E-1,-1.579525906E-1,-4.760978401E-1,-4.715153772E-1,6.884365803E-1
5.666871252E-1,-1.001654354E-1,-4.353874782E-1,-5.307886022E-1,6.937808810E-1
5.766741252E-1,6.187260479E-2,-4.317513871E-1,-6.221770746E-1,7.598301071E-1
5.866601253E-1,2.191460413E-1,-4.825873724E-1,-6.261789089E-1,8.203752711E-1
5.966471252E-1,2.790004796E-1,-4.647786538E-1,-6.013194716E-1,8.095959311E-1
6.066341251E-1,2.348981479E-1,-3.760294685E-1,-4.867643309E-1,6.584184193E-1
6.166211250E-1,6.359066293E-2,-3.108157647E-1,-3.103251833E-1,4.437926671E-1
6.266081249E-1,-1.610239868E-1,-3.308129498E-1,1.617983043E-2,3.682766881E-1
6.365941251E-1,-2.993650161E-1,-2.463089892E-1,2.856014013E-1,4.815139577E-1
6.465811250E-1,-1.787808113E-1,-1.710002138E-1,3.440542620E-1,4.237652497E-1
6.565681249E-1,-5.955067545E-2,-6.792608097E-2,2.613261008E-1,2.764987638E-1
6.665551253E-1,1.285003115E-1,1.265483648E-1,1.086938918E-1,2.105734570E-1
6.765421252E-1,2.229151565E-1,3.083770372E-1,2.621365249E-2,3.814114834E-1
6.865281248E-1,-1.076130340E-1,3.148952208E-1,-1.149638611E-1,3.520742174E-1
